-,-,5,15,25,35,45,50,55,60,65,70,75,75,80,80,85,85,90,90,95,95,95,90,90,85,85,80,80,75,75,70,65,60,55,50,45,35,25,15,5,-,-
-,0,10,20,30,40,50,55,60,65,70,75,75,80,80,85,85,90,90,95,95,100,95,95,90,90,85,85,80,80,75,75,70,65,60,55,50,40,30,20,10,0,-
-,5,15,25,35,45,55,60,65,70,75,75,80,80,85,85,90,90,95,95,100,100,100,95,95,90,90,85,85,80,80,75,75,70,65,60,55,45,35,25,15,5,-
0,10,20,30,40,50,60,65,70,75,75,80,80,85,85,90,90,95,95,100,100,105,100,100,95,95,90,90,85,85,80,80,75,75,70,65,60,50,40,30,20,10,0
5,15,25,35,45,55,65,70,75,75,80,80,85,85,90,90,95,95,100,100,105,105,105,100,100,95,95,90,90,85,85,80,80,75,75,70,65,55,45,35,25,15,5
0,10,20,30,40,50,60,65,70,75,75,80,80,85,85,90,90,95,95,100,100,105,100,100,95,95,90,90,85,85,80,80,75,75,70,65,60,50,40,30,20,10,0
-,5,15,25,35,45,55,60,65,70,75,75,80,80,85,85,90,90,95,95,100,100,100,95,95,90,90,85,85,80,80,75,75,70,65,60,55,45,35,25,15,5,-
-,0,10,20,30,40,50,55,60,65,70,75,75,80,80,85,85,90,90,95,95,100,95,95,90,90,85,85,80,80,75,75,70,65,60,55,50,40,30,20,10,0,-
-,-,5,15,25,35,45,50,55,60,65,70,75,75,80,80,85,85,90,90,95,95,95,90,90,85,85,80,80,75,75,70,65,60,55,50,45,35,25,15,5,-,-
-,-,0,10,20,30,40,45,50,55,60,65,70,75,75,80,80,85,85,90,90,95,90,90,85,85,80,80,75,75,70,65,60,55,50,45,40,30,20,10,0,-,-
-,-,-,5,15,25,35,40,45,50,55,60,65,70,75,75,80,80,85,85,90,90,90,85,85,80,80,75,75,70,65,60,55,50,45,40,35,25,15,5,-,-,-
-,-,-,0,10,20,30,35,40,45,50,55,60,65,70,75,75,80,80,85,85,90,85,85,80,80,75,75,70,65,60,55,50,45,40,35,30,20,10,0,-,-,-
-,-,-,-,5,15,25,30,35,40,45,50,55,60,65,70,75,75,80,80,85,85,85,80,80,75,75,70,65,60,55,50,45,40,35,30,25,15,5,-,-,-,-
-,-,-,-,0,10,20,25,30,35,40,45,50,55,60,65,70,75,75,80,80,85,80,80,75,75,70,65,60,55,50,45,40,35,30,25,20,10,0,-,-,-,-
-,-,-,-,-,5,15,20,25,30,35,40,45,50,55,60,65,70,75,75,80,80,80,75,75,70,65,60,55,50,45,40,35,30,25,20,15,5,-,-,-,-,-
-,-,-,-,-,0,10,15,20,25,30,35,40,45,50,55,60,65,70,75,75,80,75,75,70,65,60,55,50,45,40,35,30,25,20,15,10,0,-,-,-,-,-
-,-,-,-,-,-,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,75,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,-,-,-,-,-,-
-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-
-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,50,55,60,65,60,55,50,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,50,55,50,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
